City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Saskylakh,RU,71.9167,114.0833,-15.99,100,100,4.14,overcast clouds
106,Saint-Pierre,RE,-21.3393,55.4781,76.91,73,0,5.75,clear sky
107,Havoysund,NO,70.9963,24.6622,26.83,63,100,15.61,light snow
108,Porto Novo,BJ,6.4965,2.6036,84.02,83,100,6.24,overcast clouds
109,Te Anau,NZ,-45.4167,167.7167,66.47,54,0,2.64,clear sky
110,Tornio,FI,65.8481,24.1466,12.22,81,100,6.22,overcast clouds
111,Barcelos,PT,41.5388,-8.6151,55.85,74,94,4.36,overcast clouds
112,Salalah,OM,17.0151,54.0924,75.94,47,100,2.44,overcast clouds
113,Banamba,ML,13.55,-7.45,86.2,29,29,1.97,scattered clouds
114,Hamilton,US,39.1834,-84.5333,33.75,65,40,16.11,scattered clouds
115,Ormara,PK,25.2088,64.6357,77.81,57,0,9.69,clear sky
116,Hami,CN,42.8,93.45,51.85,23,10,6.93,clear sky
117,Puerto Ayora,EC,-0.7393,-90.3518,78.3,84,100,8.1,light rain
118,Coihaique,CL,-45.5752,-72.0662,41.32,92,7,9.33,clear sky
119,Yablonovo,RU,50.8523,37.3574,31.06,81,16,17.69,few clouds
120,Kabo,CF,7.6994,18.629,73.94,17,41,3.89,scattered clouds
121,Namibe,AO,-15.1961,12.1522,71.58,72,98,7.29,overcast clouds
122,Vitim,RU,59.4511,112.5578,23.61,79,100,2.86,overcast clouds
123,Pringsewu,ID,-5.3582,104.9744,83.01,74,80,2.89,broken clouds
124,Mehamn,NO,71.0357,27.8492,23.02,74,100,19.3,light snow
125,Barreirinhas,BR,-2.7469,-42.8264,75.18,96,99,4.92,overcast clouds
126,Kieta,PG,-6.2167,155.6333,83.73,74,98,5.12,light rain
127,Ilulissat,GL,69.2167,-51.1,8.55,83,100,6.06,overcast clouds
128,Beringovskiy,RU,63.05,179.3167,11.34,90,91,4.34,overcast clouds
129,Ginda,IN,30.6945,78.4932,60.33,19,0,4.79,clear sky
130,Tasiilaq,GL,65.6145,-37.6368,16.61,61,0,7.76,clear sky
131,Bonito,BR,-21.1211,-56.4819,66.92,74,8,2.48,clear sky
132,Kruisfontein,ZA,-34.0033,24.7314,59.88,92,3,3.2,clear sky
133,Dikson,RU,73.5069,80.5464,-9.29,99,84,11.83,broken clouds
134,Banes,CU,20.9625,-75.7186,74.1,83,99,11.59,overcast clouds
135,Cockburn Town,TC,21.4612,-71.1419,77.85,71,56,3.02,broken clouds
136,Arrecife,ES,28.963,-13.5477,64.38,82,0,11.5,clear sky
137,Martapura,ID,-3.4167,114.85,80.69,78,20,8.05,few clouds
138,Korla,CN,41.7597,86.1469,48.4,43,97,2.37,overcast clouds
139,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,6.91,broken clouds
140,Kapaa,US,22.0752,-159.319,80.58,64,0,4,clear sky
141,Normandin,CA,48.8333,-72.5321,30.33,93,100,2.3,overcast clouds
142,Lagoa,PT,39.05,-27.9833,59.31,88,96,24.58,overcast clouds
143,Egvekinot,RU,66.3167,-179.1667,9.48,88,100,2.59,overcast clouds
144,Bardiyah,LY,31.7561,25.0865,54.1,64,0,5.48,clear sky
145,Lorengau,PG,-2.0226,147.2712,84.31,73,97,6.71,overcast clouds
146,Ust-Maya,RU,60.4167,134.5333,15.8,83,89,2.53,overcast clouds
147,Cherskiy,RU,68.75,161.3,-0.53,86,100,9.1,overcast clouds
148,Deputatskiy,RU,69.3,139.9,2.01,86,36,3.89,scattered clouds
