City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Padang,ID,82.45,clear sky,-0.9492,100.3543,Mercure Padang
368,Isangel,VU,83.88,overcast clouds,-19.55,169.2667,Tanna Lodge
376,Puerto Escondido,MX,80.26,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
382,Sumbe,AO,78.87,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
383,Puerto Baquerizo Moreno,EC,78.42,light rain,-0.9,-89.6,Hotel los Algarrobos
384,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
387,Makakilo City,US,80.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Wawa,NG,81.84,broken clouds,9.9022,4.4192,
399,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
401,Tautira,PF,81.61,few clouds,-17.7333,-149.15,Pension Oaoa
408,Nuqui,CO,78.12,light rain,5.7125,-77.2708,Hotel Nuquimar
409,Bowen,AU,83.26,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
413,Bonthe,SL,76.6,light rain,7.5264,-12.505,Bonthe Holiday Village
415,Banda Aceh,ID,82.47,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
419,Nanakuli,US,81.99,few clouds,21.3906,-158.1547,Camp Pālehua
424,Bac Lieu,VN,86.32,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
427,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
428,Sur,OM,79.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
430,Kavaratti,IN,82.27,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
431,Hobyo,SO,78.76,few clouds,5.3505,48.5268,Iftin hotel hobyo
434,Olinda,BR,78.53,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
435,Hervey Bay,AU,76.24,light rain,-25.2986,152.8535,Shelly Bay Resort
438,Ranong,TH,80.53,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
450,Acapulco,MX,77.18,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
455,Paka,MY,82.33,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
456,Champerico,GT,82.85,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
459,Batticaloa,LK,79.12,clear sky,7.7102,81.6924,Grand Star Guest House
460,Touros,BR,78.17,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
469,Sinnamary,GF,77.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
470,Poum,NC,81.03,scattered clouds,-20.2333,164.0167,
471,Gorontalo,ID,88.11,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
474,Pokhara,NP,75.51,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
477,Vao,NC,75.83,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
478,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
489,Flinders,AU,75.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
490,Goundam,ML,83.59,few clouds,16.4145,-3.6708,
491,Valsad,IN,78.22,clear sky,20.6333,72.9333,Hotel Sunshine
495,Chauk,MM,83.64,broken clouds,20.8833,94.8167,Bo Khin Guest House
497,Palu,ID,88.63,broken clouds,-0.8917,119.8707,Hotel Santika Palu
498,Kulhudhuffushi,MV,81.63,clear sky,6.6221,73.07,Haajy Guest House 1
499,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
501,Meulaboh,ID,80.87,few clouds,4.1363,96.1285,Kost Pria
505,Curup,ID,79.47,clear sky,-3.4667,102.5333,Ayi The Costel
506,Ugoofaaru,MV,81.7,clear sky,5.6667,73.0,Ungoofaaru Inn
514,Kontagora,NG,78.94,broken clouds,10.3999,5.4695,Queens Guest Inn
519,Taoudenni,ML,79.36,broken clouds,22.6783,-3.9836,
521,Bom Jesus,BR,76.19,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
522,Kothi,IN,81.16,clear sky,24.75,80.7833,KILA-THE HERITAGE PALACE
529,Nata,PA,80.47,clear sky,8.3333,-80.5167,Rey David
530,Vinh,VN,79.03,few clouds,18.6667,105.6667,Vuong Hoan 2
535,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
536,Aitape,PG,78.01,overcast clouds,-3.1374,142.3475,
538,Mitsamiouli,KM,81.72,broken clouds,-11.3847,43.2844,Foyer ADM
539,Sambava,MG,77.04,light rain,-14.2667,50.1667,Melrose
542,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
543,Markala,ML,87.1,overcast clouds,13.7021,-6.0659,Hôtel Igor
544,Maragogi,BR,77.4,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
549,Dingle,PH,87.53,light rain,10.9995,122.6711,SEGAYA PROPERTY
553,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
