City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Ghorawal,IN,3/26/2022 21:05,24.7667,82.7833,72.61,12,0,5.57
97,Nhulunbuy,AU,3/26/2022 21:05,-12.2333,136.7667,74.01,100,85,0
98,Saint George,US,3/26/2022 21:05,37.1041,-113.5841,87.44,12,0,5.75
99,Cape Town,ZA,3/26/2022 21:05,-33.9258,18.4232,66.27,68,47,8.7
100,Aksehir,TR,3/26/2022 21:05,38.3575,31.4164,30.58,72,3,0.92
101,Kaupanger,NO,3/26/2022 21:05,61.1845,7.2404,41.09,98,100,1.5
102,Porto Novo,BJ,3/26/2022 21:05,6.4965,2.6036,83.21,80,100,9.53
103,Mulanje,MW,3/26/2022 21:05,-16.0316,35.5,70.97,91,23,2.73
104,Ahipara,NZ,3/26/2022 21:05,-35.1667,173.1667,68.09,70,0,7.07
105,Chokurdakh,RU,3/26/2022 21:05,70.6333,147.9167,-2.13,97,99,8.75
106,Hanstholm,DK,3/26/2022 21:05,57.1167,8.6167,38.62,77,61,5.95
107,Henties Bay,NA,3/26/2022 21:05,-22.116,14.2845,64.29,82,0,4.65
108,Caravelas,BR,3/26/2022 21:05,-17.7125,-39.2481,78.84,81,8,7.4
109,Padang,ID,3/26/2022 21:05,-0.9492,100.3543,75.63,82,7,4.97
110,Erzin,TR,3/26/2022 21:05,36.9559,36.2,43.84,81,78,3.89
111,Ancud,CL,3/26/2022 21:05,-41.8697,-73.8203,54.23,93,97,20.36
112,Inirida,CO,3/26/2022 21:05,3.8653,-67.9239,75.76,93,100,2.01
113,Dingle,PH,3/26/2022 21:05,10.9995,122.6711,76.14,90,93,5.84
114,Buta,CD,3/26/2022 21:05,2.7858,24.73,75.7,39,100,1.14
115,Pangnirtung,CA,3/26/2022 21:05,66.1451,-65.7125,21.83,82,100,5.37
116,Dikson,RU,3/26/2022 21:05,73.5069,80.5464,-5.42,95,100,13.98
117,Dalby,AU,3/26/2022 21:05,-27.1833,151.2667,65.98,96,86,4.63
118,Moranbah,AU,3/26/2022 21:05,-22.0016,148.0466,68.7,93,5,10.92
119,Half Moon Bay,US,3/26/2022 21:05,37.4636,-122.4286,74.05,65,20,13.8
120,Arraial Do Cabo,BR,3/26/2022 21:05,-22.9661,-42.0278,78.66,78,0,11.5
121,Tommot,RU,3/26/2022 21:05,58.9564,126.2925,-3.91,99,97,2.28
122,Pevek,RU,3/26/2022 21:05,69.7008,170.3133,-2.38,96,99,8.37
123,Ranau,MY,3/26/2022 21:05,5.9538,116.6641,68.49,97,79,0.6
124,Torbay,CA,3/26/2022 21:00,47.6666,-52.7314,40.28,96,100,10.36
125,Pisco,PE,3/26/2022 21:05,-13.7,-76.2167,73.45,64,0,12.66
126,Victoria,HK,3/26/2022 21:05,22.2855,114.1577,74.32,88,75,8.01
127,Santa Cruz Del Sur,CU,3/26/2022 21:05,20.7147,-77.9956,80.24,67,98,12.8
128,Labuhan,ID,3/26/2022 21:05,-6.8844,112.2051,76.39,90,100,6.06
129,Biak,ID,3/26/2022 21:05,-0.9131,122.8766,75.96,82,97,2.95
130,Yulara,AU,3/26/2022 21:05,-25.2406,130.9889,62.44,34,0,8.05
131,Marion,US,3/26/2022 21:05,39.7684,-86.1555,35.92,67,100,21.85
132,Rundu,NA,3/26/2022 21:05,-17.9333,19.7667,70.75,57,53,4.16
133,Port Saint John,US,3/26/2022 21:04,28.477,-80.7887,80.62,33,0,13
134,College,US,3/26/2022 21:05,64.8569,-147.8028,35.47,59,40,3.44
135,Cherskiy,RU,3/26/2022 21:05,68.75,161.3,-8.57,97,100,5.82
136,Lata,PT,3/26/2022 21:05,40.1629,-8.3327,58.08,73,61,6.29
